accuracy,model_name,elapsed_time
0.8609,"bs_380_dkp_0.772_lr_0.0019252158377076345_fs_5,5_fw_240",1402.0490851402283
0.828,"bs_320_dkp_0.636_lr_0.011263869483133914_fs_5,1_fw_30",312.5468738079071
